,ID,Species,Temperature Range
493,A2QF64,Aspergillus niger,<40
492,A2QF64,Aspergillus niger,<40
491,A2QF64,Aspergillus niger,<40
497,A2QF64,Aspergillus niger,<40
511,G3XMB4,Aspergillus niger,<40
498,A2QF64,Aspergillus niger,<40
502,A2QM14,Aspergillus niger,<40
512,G3XMB4,Aspergillus niger,<40
495,A2QF64,Aspergillus niger,<40
183,F8IJE7,Alicyclobacillus acidocaldarius,<40
69,A0A0A3X2W2,Acinetobacter sp.,<40
68,A0A0A3X2W2,Acinetobacter sp.,<40
522,A0A0D7THE4,Acinetobacter baumannii,<40
534,A0A219CAR9,Acinetobacter baumannii,<40
520,A0A0D7THE4,Acinetobacter baumannii,<40
533,A0A0G4QMX9,Acinetobacter baumannii,<40
532,A0A0G4QMX9,Acinetobacter baumannii,<40
521,A0A0D7THE4,Acinetobacter baumannii,<40
531,A0A0G4QMX9,Acinetobacter baumannii,<40
515,A0A0D7THE4,Acinetobacter baumannii,<40
530,A0A0G4QMX9,Acinetobacter baumannii,<40
516,A0A0D7THE4,Acinetobacter baumannii,<40
528,A0A0G4QMX9,Acinetobacter baumannii,<40
538,A0A219CAR9,Acinetobacter baumannii,<40
540,A0A219CAR9,Acinetobacter baumannii,<40
519,A0A0D7THE4,Acinetobacter baumannii,<40
518,A0A0D7THE4,Acinetobacter baumannii,<40
517,A0A0D7THE4,Acinetobacter baumannii,<40
529,A0A0G4QMX9,Acinetobacter baumannii,<40
536,A0A219CAR9,Acinetobacter baumannii,<40
535,A0A219CAR9,Acinetobacter baumannii,<40
526,A0A0G4QMX9,Acinetobacter baumannii,<40
67,A0A0A3X2W2,Acinetobacter sp.,<40
66,A0A0A3X2W2,Acinetobacter sp.,<40
77,Q6FD56,Acinetobacter baylyi,<40
74,Q6FD56,Acinetobacter baylyi,<40
71,Q6FD56,Acinetobacter baylyi,<40
75,Q6FD56,Acinetobacter baylyi,<40
72,Q6FD56,Acinetobacter baylyi,<40
